ticker,rmse_valid,direction_acc_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600436,0.0417545922100544,0.4716553287981859,-0.0236427299678325,301.7410083091624,308.9599914550781,0.0248755002511872,-0.9504420101977272,False,|ret|≥1.2·σ60
sh600067,0.0259814169257879,0.4512471655328798,-0.0219552852213382,4.558803187389118,4.659999847412109,0.0373774020210543,-0.5873944726020915,False,|ret|≥1.2·σ60
sz000983,0.0380921959877014,0.4699074074074074,-0.0209726244211196,12.40704400116624,12.670000076293944,0.0397463158629052,-0.5276619653715757,False,|ret|≥1.2·σ60
sh600684,0.0291083231568336,0.4784580498866213,-0.0190542712807655,4.513180030037179,4.599999904632568,0.04030148131386,-0.4727932058983785,False,|ret|≥1.2·σ60
sh600111,0.0418425574898719,0.4943310657596372,-0.015392854809761,38.87694293013407,39.47999954223633,0.0308337797540014,-0.4992203336848479,False,|ret|≥1.2·σ60
sz002028,0.0329459384083747,0.5034013605442177,-0.0130584072321653,35.96724371608082,36.43999862670898,0.0276931533803756,-0.4715390240112104,False,|ret|≥1.2·σ60
sh600085,0.0281730964779853,0.4965986394557823,-0.0094259437173604,43.03245938298856,43.43999862670898,0.0389399459629545,-0.2420635433262391,False,|ret|≥1.2·σ60
sh600668,0.0293193291872739,0.4875283446712018,-0.0083924233913421,20.923661236098493,21.100000381469727,0.0619273130108089,-0.1355205260507922,False,|ret|≥1.2·σ60
sh600583,0.0195559971034526,0.4512471655328798,-0.0057909451425075,4.255286590055884,4.28000020980835,0.02017642728147,-0.2870152476238179,False,|ret|≥1.2·σ60
sh600479,0.0215357858687639,0.5034013605442177,-0.0052672899328172,11.837483659717924,11.899999618530272,0.0429651030121852,-0.1225945787998596,False,|ret|≥1.2·σ60
sz000548,0.0187755618244409,0.4603174603174603,-0.004627700895071,4.70816156364505,4.730000019073486,0.0236118075632222,-0.1959908796804842,False,|ret|≥1.2·σ60
sh600467,0.0233635157346725,0.4671201814058957,-0.0043345652520656,3.036808139545273,3.049999952316284,0.0301884045011474,-0.143583733153687,False,|ret|≥1.2·σ60
sh600809,0.0339350551366806,0.4671201814058957,-0.004281248897314,240.2193564984298,241.25,0.0272833776554243,-0.1569177900993866,False,|ret|≥1.2·σ60
sh600125,0.0189936086535453,0.4489795918367347,-0.0042139794677495,4.988932611213942,5.010000228881836,0.0301766471143472,-0.1396436806032465,False,|ret|≥1.2·σ60
sh600456,0.0331253968179225,0.4716553287981859,-0.0038012918084859,49.162760827102005,49.34999847412109,0.0325329520138639,-0.1168443195201856,False,|ret|≥1.2·σ60
sh600660,0.0283958371728658,0.5102040816326531,-0.0031642206013202,35.03895494750233,35.150001525878906,0.0238229402849415,-0.1328223651341945,False,|ret|≥1.2·σ60
sz002038,0.0206138677895069,0.4897959183673469,-0.003108661621809,10.537192162608925,10.56999969482422,0.022205182953527,-0.139997055117471,False,|ret|≥1.2·σ60
sh600824,0.0224587731063365,0.4408352668213457,-0.0030771712772548,3.90795610483753,3.920000076293945,0.0392220363530772,-0.0784551435576332,False,|ret|≥1.2·σ60
sh600138,0.0211683306843042,0.4852607709750567,-0.0026077963411808,12.178200326329168,12.210000038146973,0.0280190981123366,-0.0930720682016498,False,|ret|≥1.2·σ60
sh600262,0.0243934709578752,0.4671201814058957,-0.0024731340818107,21.606497949530887,21.65999984741211,0.0407746682105782,-0.0606536750342545,False,|ret|≥1.2·σ60
