ticker,rmse_valid,direction_acc_valid,y_next_pred,sigma60,z_of_pred,alert
sh600085,0.023875767365098,0.5046875,-0.0050365068018436,0.0389399459629545,-0.1293403312175059,False
sz000419,0.0200674999505281,0.4390625,0.0036087036132812,0.0413354478286886,0.0873028581959154,False
sz000919,0.0219506043940782,0.5296875,-0.0011427327990531,0.0289219190874143,-0.0395109467144937,False
sz000951,0.0322994701564312,0.5,0.0154222808778285,0.0234779210157697,0.6568841550590507,False
sh600367,0.0330550819635391,0.4984375,-0.0160777531564235,0.0474416806706886,-0.3388950294378325,False
sh600993,0.0273135956376791,0.49375,0.0007436461746692,0.0282215506360999,0.0263502853105161,False
sh600573,0.0297451112419366,0.5078125,0.0039969123899936,0.028970096006775,0.1379667851080328,False
sh600761,0.0233271270990371,0.4953125,-0.0006066113710403,0.0235344901162921,-0.0257754092095802,False
sh600992,0.0282310228794813,0.4765625,0.0034921411424875,0.0565721373474065,0.0617289833642423,False
sh600684,0.0265171732753515,0.484375,-0.017958041280508,0.04030148131386,-0.4455924754906553,False
sh600033,0.0107077155262231,0.4203125,-0.0005393251776695,0.017351268073795,-0.0310827349648696,False
sz000823,0.0259641595184803,0.496875,0.0001930445432662,0.0273255140164935,0.0070646236518566,False
sh600276,0.0212095417082309,0.50625,0.0019658524543046,0.0186060993303916,0.1056562884478823,False
sh600560,0.0242493562400341,0.525,0.0043670497834682,0.0214755819239888,0.2033494489430178,False
sh600111,0.034890379756689,0.4921875,-0.0002973526716232,0.0308337797540014,-0.0096437276765384,False
sz000151,0.0237992666661739,0.4640625,-0.0037918593734502,0.0348958022844246,-0.1086623043058589,False
sz000915,0.0266489516943693,0.4671875,0.0022590085864067,0.0342391006717602,0.0659774317172874,False
sz000096,0.0216733664274215,0.49375,0.0014980174601078,0.0240977795729779,0.0621641024613978,False
sz000548,0.0177024230360984,0.475,-0.0020872615277767,0.0236118075632222,-0.0883990197784619,False
sh600261,0.019062977284193,0.46875,-0.0002777869813144,0.0168304905308085,-0.0165049744543203,False
sz002028,0.0314799062907695,0.5203125,-0.0002422928810119,0.0276931533803756,-0.0087491947988744,False
sh600028,0.0131114702671766,0.4203125,-0.0010315179824829,0.0135713933444337,-0.0760067294666311,False
sh600123,0.0289753228425979,0.4625,-0.0007347147911787,0.0372837471000913,-0.019706028799788,False
sz000702,0.0243082679808139,0.509375,0.0001261383295059,0.03028096456872,0.0041655967584418,False
sh600833,0.0222694668918848,0.475,-0.0050827711820602,0.0427613807598281,-0.1188635610709652,False
sz000573,0.0267420597374439,0.465625,0.0008126124739646,0.0430877123149678,0.0188594901356019,False
sh600456,0.0313177146017551,0.484375,-0.0001475065946578,0.0325329520138639,-0.0045340659296573,False
sh600742,0.0257287006825208,0.4953125,0.0079011190682649,0.022472508078419,0.3515902864420262,False
sh600125,0.0183387659490108,0.4703125,0.0005483105778694,0.0301766471143472,0.0181700237965962,False
sh600650,0.0172539576888084,0.4640625,0.0021256916224956,0.0233005692606391,0.0912291320622449,False
sh600624,0.0198078900575637,0.4859375,0.0025172308087348,0.0151095132293928,0.1665989568643748,False
sh600031,0.0286373011767864,0.48125,-0.0072818249464035,0.0226702621614346,-0.3212058900109247,False
sh600668,0.0276793558150529,0.49375,-0.0115121118724346,0.0619273130108089,-0.1858971341361753,False
sz002038,0.0210401006042957,0.4953125,-0.0038245767354965,0.022205182953527,-0.1722379419760468,False
sh600527,0.0279645752161741,0.446875,-0.0009900704026222,0.0167130637965677,-0.0592392766688762,False
sz000570,0.0263777673244476,0.4953125,0.0020463988184928,0.0188020945909819,0.1088388168776811,False
sh600348,0.0300193652510643,0.4609375,0.0012310445308685,0.0305137858870831,0.040343867260043,False
sh600583,0.0219016950577497,0.4515625,0.0040361415594816,0.02017642728147,0.2000423317147471,False
sh600642,0.018131460994482,0.4640625,0.0023962967097759,0.0227321417329486,0.105414425256658,False
sh600601,0.0250233262777328,0.4835680751173709,0.0011225417256355,0.0266156743970491,0.0421759481698687,False
