ticker,rmse_valid,direction_acc_valid,y_next_pred,sigma60,z_of_pred,alert
sh600085,0.0241051744669675,0.475,-0.0022151134908199,0.0389399459629545,-0.0568853619898099,False
sz000419,0.0201117284595966,0.4453125,0.0020122081041336,0.0413354478286886,0.0486799520274586,False
sz000919,0.0223195813596248,0.5140625,4.417262971401215e-05,0.0289219190874143,0.0015273057886458,False
sz000951,0.0327703766524791,0.4953125,-0.014522697776556,0.0234779210157697,-0.618568040207689,False
sh600993,0.0277099087834358,0.5109375,-7.525086402893066e-06,0.0282215506360999,-0.0002666431704442,False
sh600761,0.0243568625301122,0.515625,0.0059922598302364,0.0235344901162921,0.2546159808207778,False
sh600992,0.0284139662981033,0.4796875,-0.0039471238851547,0.0565721373474065,-0.0697715054179514,False
sh600684,0.0263858027756214,0.4859375,-0.0156121328473091,0.04030148131386,-0.3873835021569033,False
sh600033,0.01065987162292,0.41875,0.0014859288930892,0.017351268073795,0.0856380081495803,False
sz000823,0.0264056269079446,0.48125,0.0047117988578975,0.0273255140164935,0.1724321500679546,False
sh600276,0.0225804448127746,0.5078125,0.0211580693721771,0.0186060993303916,1.1371571023511642,False
sh600111,0.0359516069293022,0.5078125,-0.0080802273005247,0.0308337797540014,-0.2620575467689988,False
sz000915,0.0269288029521703,0.465625,0.0027286813128739,0.0342391006717602,0.0796948652969694,False
sz000548,0.0179181676357984,0.475,0.0010579451918601,0.0236118075632222,0.0448057498761999,False
sh600261,0.0195339098572731,0.459375,0.0036729699932038,0.0168304905308085,0.2182329626192891,False
sz002028,0.0323518589138984,0.5125,0.0132539011538028,0.0276931533803756,0.4785983086061971,False
sh600028,0.0131693556904792,0.434375,-0.0002801716327667,0.0135713933444337,-0.0206442639464867,False
sz000702,0.0244762282818555,0.49375,0.0027774646878242,0.03028096456872,0.0917230943647811,False
sz000573,0.0481683127582073,0.4765625,0.0315980240702629,0.0430877123149678,0.7333417125018549,False
sh600456,0.0321076586842536,0.484375,0.0025646369904279,0.0325329520138639,0.0788319547828152,False
sh600742,0.0256095025688409,0.4828125,0.004725694656372,0.022472508078419,0.2102877229815326,False
sh600125,0.0184821095317602,0.49375,-0.0078743621706962,0.0301766471143472,-0.2609421627073614,False
sh600624,0.019820237532258,0.4625,0.0065289959311485,0.0151095132293929,0.4321113136414187,False
sh600031,0.033065989613533,0.48125,-0.0047091715969145,0.0226702621614346,-0.2077245285535437,False
sh600668,0.0284380968660116,0.4734375,-0.0116018988192081,0.061927313010809,-0.1873470102556041,False
sz002038,0.0211267136037349,0.5078125,-0.0085617341101169,0.022205182953527,-0.3855735065232579,False
