ticker,rmse_valid,direction_acc_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600085,0.024851882830262184,0.4777777777777778,-0.009591277688741684,43.025345243701125,43.439998626708984,0.038939945962954574,-0.24630941282692564,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sz000419,0.020234404131770134,0.4936507936507937,0.008603822439908981,5.12389590688111,5.079999923706055,0.04133544782868869,0.2081462959855627,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sz000919,0.02218821458518505,0.5253968253968254,0.004179753363132477,8.033508005721862,8.0,0.02892191908741433,0.14451848458999708,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sz000951,0.030502483248710632,0.5047619047619047,0.015873443335294724,12.466321639153598,12.270000457763672,0.023477921015769756,0.6761006037811756,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sh600993,0.028073636814951897,0.473015873015873,-0.0020546680316329002,22.63344827445322,22.68000030517578,0.028221550636099962,-0.07280490466585486,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sh600761,0.02476091869175434,0.4793650793650794,-0.003941088914871216,10.299329488600259,10.34000015258789,0.023534490116292144,-0.16746006481535303,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sh600992,0.028439564630389214,0.47619047619047616,0.010257069021463394,14.851554647419315,14.699999809265137,0.056572137347406536,0.18130952248418786,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sh600684,0.026735888794064522,0.4777777777777778,-0.0120525062084198,4.544891143668365,4.599999904632568,0.040301481313860014,-0.2990585662093066,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sh600033,0.01075963955372572,0.4126984126984127,0.000345142325386405,2.870990614954932,2.869999885559082,0.017351268073795032,0.019891464128377962,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
sz000823,0.02632073126733303,0.46984126984126984,0.006217494606971741,11.098792334028014,11.029999732971191,0.027325514016493583,0.22753432297286905,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.53)
