ticker,rmse_valid,direction_acc_valid,y_next_pred,sigma60,z_of_pred,alert
sh600085,0.0254980400204658,0.4966101694915254,-0.0196656752377748,0.0389399459629545,-0.5050256157578539,False
sz000419,0.0205915160477161,0.4525423728813559,0.0046434691175818,0.0413354478286886,0.1123362208016736,False
sz000919,0.0227492600679397,0.5084745762711864,-0.0014895424246788,0.0289219190874143,-0.0515021809291065,False
sz000951,0.0377179160714149,0.4966101694915254,0.0100266691297292,0.0234779210157697,0.4270678333194911,False
sh600993,0.0285162329673767,0.5305084745762711,0.0045126853510737,0.0282215506360999,0.159902048269481,False
sh600761,0.0250421967357397,0.4949152542372881,-0.0002253875136375,0.0235344901162921,-0.0095768982780099,False
sh600992,0.029292169958353,0.4915254237288136,0.0033337846398353,0.0565721373474065,0.0589297878223141,False
sh600684,0.0275529995560646,0.4813559322033898,-0.0040010213851928,0.04030148131386,-0.0992772538870512,False
sh600033,0.0109572550281882,0.4084745762711864,-0.0005738921463489,0.017351268073795,-0.0330749207008376,False
sz000823,0.0264194533228874,0.488135593220339,0.0034426487982273,0.0273255140164935,0.1259865609951099,False
sh600276,0.0219686385244131,0.5101694915254237,0.0106986947357654,0.0186060993303916,0.5750097747888626,False
sh600111,0.0365464948117733,0.5135593220338983,-0.006125658750534,0.0308337797540014,-0.198667072695438,False
sz000915,0.0275775231420993,0.4813559322033898,-0.0096365250647068,0.0342391006717602,-0.281447878628893,False
sz000548,0.018194880336523,0.4661016949152542,0.0030512139201164,0.0236118075632222,0.1292240172509632,False
sh600261,0.0192221477627754,0.4661016949152542,0.0017461739480495,0.0168304905308085,0.1037505655196134,False
sz002028,0.0369859561324119,0.4932203389830508,-0.0225499421358108,0.0276931533803756,-0.814278304940436,False
sh600028,0.013569270260632,0.4135593220338983,-0.0002139303833246,0.0135713933444337,-0.0157633207042192,False
sz000702,0.0239236298948526,0.5135593220338983,-0.0010006800293922,0.03028096456872,-0.0330464935044043,False
sz000573,0.0802138149738311,0.4423728813559322,-0.1194143369793891,0.0430877123149678,-2.771423750517138,False
sh600456,0.0339615046977996,0.4898305084745762,-0.0025391951203346,0.0325329520138639,-0.0780499211615758,False
sh600742,0.0262231212109327,0.523728813559322,-0.0031555779278278,0.022472508078419,-0.140419418812626,False
sh600125,0.0189549662172794,0.4864406779661017,-0.0011801905930042,0.0301766471143472,-0.0391093880456067,False
sh600624,0.0196423679590225,0.4796610169491525,0.0038896780461072,0.0151095132293929,0.2574322158981558,False
sh600031,0.0324358493089675,0.4813559322033898,-0.006996301934123,0.0226702621614346,-0.3086112898999403,False
sh600668,0.0281641334295272,0.4779661016949152,0.0020919479429721,0.061927313010809,0.0337806939048059,False
sz002038,0.0215607173740863,0.5,-0.0114071629941463,0.022205182953527,-0.513716004090586,False
sh600527,0.0308532696217298,0.4389830508474576,-0.0056193713098764,0.0167130637965677,-0.3362260813465955,False
sh600583,0.0223181284964084,0.459322033898305,0.0032583959400653,0.02017642728147,0.161495109102234,False
sh600642,0.018822643905878,0.4915254237288136,0.0043573342263698,0.0227321417329486,0.1916815564825835,False
sh600004,0.0254154317080974,0.4796610169491525,-0.0004951357841491,0.0343324249729957,-0.0144218079649352,False
sh600016,0.0092967925593256,0.4,0.0025855191051959,0.0099829507418286,0.2589932157463729,False
sz000581,0.0209531188011169,0.5338983050847458,0.0017508752644062,0.0182787161050006,0.0957875977980325,False
sz000550,0.0324487648904323,0.5084745762711864,0.0128080658614635,0.027620077141962,0.4637228621196052,False
sh600059,0.0292101725935935,0.4983050847457627,0.0061105787754058,0.0228545914941911,0.2673675485857405,False
sh600836,0.0273555573076009,0.4693877551020408,-0.0025602355599403,0.0264258079755018,-0.0968838717618432,False
sh600969,0.0195995438843965,0.4932203389830508,0.0006229598075151,0.0232753997340172,0.0267647192738644,False
sz000983,0.0331002548336982,0.4561101549053356,-0.0094229727983474,0.0397463158629052,-0.2370778328253432,False
sh600192,0.0269918404519557,0.4796610169491525,-0.0140690430998802,0.0438201960174717,-0.321062915456643,False
sh600660,0.0280840508639812,0.5203389830508475,0.0046657230705022,0.0238229402849415,0.1958499268435061,False
sz000729,0.0225649215281009,0.459322033898305,-0.0018614598084241,0.0255814241057681,-0.0727660459037513,False
sh600486,0.0266685280948877,0.4717948717948718,-0.0001402217894792,0.025816435009435,-0.005431491029381,False
sh600611,0.0127378897741436,0.459322033898305,0.0005254186689853,0.0134370752822407,0.039102131001564,False
sh600426,0.030851287767291,0.5152542372881356,-0.0205079540610313,0.0247655449299723,-0.8280837687271739,False
sh600439,0.0237332340329885,0.4779661016949152,0.0013459790498018,0.0193288610532307,0.0696356784674628,False
sh600824,0.0229441132396459,0.496551724137931,0.0093770697712898,0.0392220363530772,0.2390765052612848,False
sh600329,0.0255193896591663,0.4719864176570458,0.0034790709614753,0.0292857076105144,0.1187975315389329,False
