ticker,rmse_valid,direction_acc_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600801,0.0364933982491493,0.4897959183673469,0.0228178650140762,18.527982754539785,18.11000061035156,0.0306955142690051,0.7433613061666006,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600588,0.0315311402082443,0.5,0.0194114781916141,23.481414169717503,23.030000686645508,0.0313163567441692,0.6198509025708856,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600831,0.0352825336158275,0.4576271186440678,0.0171016529202461,6.571426791794474,6.460000038146973,0.0388480106680837,0.4402194146868414,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600720,0.0298764016479253,0.5033898305084745,0.0149021968245506,10.4140416991416,10.260000228881836,0.0203754106645336,0.7313810629927275,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600596,0.0352608188986778,0.5326460481099656,0.0135976318269968,28.383334002090457,28.0,0.0302418459354942,0.4496295417847529,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600491,0.0336672700941562,0.4457627118644068,0.013313453644514,6.262827104717796,6.179999828338623,0.0318711132167962,0.4177277830452436,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600812,0.0365449637174606,0.5266781411359724,0.013211628422141,7.863202703699409,7.760000228881836,0.0343271977432012,0.3848733786032379,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sz000550,0.0324487648904323,0.5084745762711864,0.0128080658614635,14.53497820681162,14.350000381469728,0.027620077141962,0.4637228621196052,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600774,0.0269934255629777,0.5067796610169492,0.0123887136578559,12.686195848524864,12.529999732971191,0.0316025515954947,0.3920161225038829,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600351,0.0290242452174425,0.4966101694915254,0.0123041672632098,8.311641274929283,8.210000038146973,0.04407113969511,0.2791887061792499,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600557,0.0228067338466644,0.4983050847457627,0.0120119312778115,13.430359976942835,13.270000457763672,0.0394395459877549,0.3045655808483479,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sz000026,0.030910326167941,0.5271186440677966,0.0118293203413486,9.704116967928057,9.59000015258789,0.0226400964262172,0.5224940253659898,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sz000543,0.0208301823586225,0.4152542372881356,0.0116406977176666,4.046834857213193,4.0,0.0287241124590318,0.405258602217328,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600183,0.0277559552341699,0.5084745762711864,0.0108783300966024,16.84222216544201,16.65999984741211,0.0166517745984094,0.6532831380512533,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600188,0.0352208241820335,0.4779661016949152,0.0107868229970335,40.77749594670025,40.34000015258789,0.0341356584630606,0.3159985868947131,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600276,0.0219686385244131,0.5101694915254237,0.0106986947357654,36.28614662424314,35.900001525878906,0.0186060993303916,0.5750097747888626,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sz002007,0.0291763842105865,0.4864406779661017,0.0101300068199634,22.496742223135485,22.270000457763672,0.0227999141819428,0.444300022189822,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sz000951,0.0377179160714149,0.4966101694915254,0.0100266691297292,12.393646535846894,12.270000457763672,0.0234779210157697,0.4270678333194911,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600498,0.0233525242656469,0.4847457627118644,0.0096506234258413,15.448369507669998,15.300000190734863,0.0222998017105872,0.4327670363808291,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
sh600196,0.0355696529150009,0.4847457627118644,0.0095964334905147,50.62348069673703,50.13999938964844,0.0376638446708167,0.2547915919490418,False,(strength: |ret|≥1.0·σ60 or ≥0.012) AND (stable: acc≥0.55)
