ticker,rmse_valid,direction_acc_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600067,0.0234636086970567,0.4734375,-0.0285521652549505,4.528828288776102,4.659999847412109,0.0373774020210543,-0.7638882338581222,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600622,0.0282437037676572,0.45,-0.0277432352304458,4.026721496220561,4.139999866485596,0.0309055373200494,-0.8976781722434649,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz000039,0.0301316026598215,0.4755905511811024,-0.0209217742085456,13.915790055000864,14.210000038146973,0.018892514033194,-1.1074102206664556,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600479,0.0210142116993665,0.465625,-0.0155334509909152,11.716579816982756,11.899999618530272,0.0429651030121852,-0.3615363699034116,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz000573,0.0327933356165885,0.446875,-0.0150562115013599,4.413053436879806,4.480000019073486,0.0430877123149678,-0.3494315942555566,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600884,0.0362335667014122,0.525,-0.0148102641105651,26.34689151619713,26.739999771118164,0.0294264994625592,-0.5032966662053141,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600684,0.0264510791748762,0.4828125,-0.0129128731787204,4.54098255109782,4.599999904632568,0.04030148131386,-0.3204068325451676,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600085,0.0250752866268157,0.521875,-0.0122284665703773,42.9120287657479,43.43999862670898,0.0389399459629545,-0.3140339085645312,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600586,0.0369491688907146,0.4765625,-0.0118468068540096,7.974960036903463,8.069999694824219,0.0244227535312377,-0.4850723317554566,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz000933,0.037017498165369,0.4921875,-0.0113024860620498,14.732540714166197,14.899999618530272,0.0419259983886019,-0.2695817344997375,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600459,0.0308552533388137,0.5015625,-0.0102375857532024,20.62773724767848,20.84000015258789,0.0224544568433172,-0.4559264677553126,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz002024,0.020188707858324,0.5176282051282052,-0.0096551068127155,3.4366580270017137,3.470000028610229,0.023306329596517,-0.4142695498249074,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600976,0.0333607979118824,0.496875,-0.0090786395594477,57.78302163719359,58.310001373291016,0.0495295176495588,-0.1832975194854017,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600529,0.0297574810683727,0.4890625,-0.0088829919695854,26.642281728240683,26.8799991607666,0.0271487686185407,-0.3271967440744808,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600521,0.0330954529345035,0.5046875,-0.008743979036808,21.3326503114518,21.520000457763672,0.0411371583791536,-0.212556658159268,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600969,0.0190389100462198,0.478125,-0.0083049535751342,7.953670540972403,8.020000457763672,0.0232753997340172,-0.3568123470237559,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz000937,0.0292664933949708,0.475,-0.0081074442714452,7.131943196834196,7.190000057220459,0.0365245767850892,-0.2219722380200901,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600036,0.023821048438549,0.5109375,-0.0078829219564795,44.69626965203289,45.04999923706055,0.0236413664408437,-0.3334375211276071,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sz000525,0.0322918817400932,0.4710485133020344,-0.0074757020920515,7.970193671843532,8.029999732971191,0.0371424099853139,-0.2012712713659309,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
sh600779,0.0337158106267452,0.488262910798122,-0.0072064362466335,80.56730133113575,81.1500015258789,0.0232971974446354,-0.3093261827092037,False,(strength: |ret|≥1.2·σ60 or ≥0.012) AND (stable: acc≥0.52)
