ticker,rmse_valid,direction_acc_valid,y_next_pred,sigma60,z_of_pred,alert
sh600085,0.0250752866268157,0.521875,-0.0122284665703773,0.0389399459629545,-0.3140339085645312,False
sz000419,0.0201500728726387,0.446875,0.0026938766241073,0.0413354478286886,0.0651710847203363,False
sz000919,0.0220909267663955,0.51875,0.0074680596590042,0.0289219190874143,0.2582144377863789,False
sz000951,0.0298028904944658,0.5,0.0039277859032154,0.0234779210157697,0.1672969351761523,False
sh600993,0.0273486301302909,0.490625,-0.0031591802835464,0.0282215506360999,-0.1119420830152582,False
sh600761,0.0241002291440963,0.4921875,0.001265968196094,0.0235344901162921,0.0537920155447724,False
sh600992,0.0286204200237989,0.496875,0.0089699998497962,0.0565721373474065,0.1585585888177799,False
sh600684,0.0264510791748762,0.4828125,-0.0129128731787204,0.04030148131386,-0.3204068325451676,False
sh600033,0.0106600830331444,0.4328125,0.0013412572443485,0.017351268073795,0.0773001987890549,False
sz000823,0.0264788065105676,0.4671875,0.0027919113636016,0.0273255140164935,0.1021722899775498,False
sh600276,0.0226038917899131,0.5015625,0.0101768504828214,0.0186060993303916,0.5469628444136014,False
sh600111,0.0357228145003318,0.5078125,0.0010008998215198,0.0308337797540014,0.0324611353163281,False
sz000915,0.0269239135086536,0.45,0.004935510456562,0.0342391006717602,0.1441483251091787,False
sz000548,0.0178158041089773,0.5,-0.0011856853961944,0.0236118075632222,-0.0502157613669386,False
sh600261,0.0193645302206277,0.45625,0.0010362714529037,0.0168304905308085,0.0615710418716799,False
sz002028,0.0332859680056571,0.49375,0.0148404501378536,0.0276931533803756,0.5358885849917051,False
sh600028,0.0132845882326364,0.4234375,-0.001680037472397,0.0135713933444337,-0.1237924649175021,False
sz000702,0.0243223644793033,0.509375,0.0021181590855121,0.03028096456872,0.0699501622943205,False
sz000573,0.0327933356165885,0.446875,-0.0150562115013599,0.0430877123149678,-0.3494315942555566,False
sh600456,0.0313914753496646,0.4984375,0.0003145111259073,0.0325329520138639,0.0096674605212176,False
sh600742,0.0259778425097465,0.509375,0.000551663339138,0.022472508078419,0.024548354448441,False
sh600125,0.0185793992131948,0.496875,-0.0004067420959472,0.0301766471143472,-0.0134786995924039,False
sh600624,0.0198666993528604,0.4828125,0.0039836075156927,0.0151095132293929,0.2636487899196772,False
sh600031,0.0268445927649736,0.51875,0.0044907927513122,0.0226702621614346,0.1980916999731367,False
sh600668,0.0278283096849918,0.48125,-0.0067004286684095,0.061927313010809,-0.1081982611655936,False
sz002038,0.0207505263388156,0.4828125,-0.0005686357617378,0.022205182953527,-0.0256082333050612,False
sh600527,0.0290340650826692,0.446875,0.0024068467319011,0.0167130637965677,0.1440098189715075,False
sh600583,0.0219223517924547,0.4828125,0.0014408640563488,0.02017642728147,0.0714132052278667,False
sh600642,0.0185141954571008,0.471875,0.0074629187583923,0.0227321417329486,0.3282979475970748,False
sh600004,0.0254852529615163,0.4828125,0.0100111616775393,0.0343324249729957,0.2915948631494869,False
sh600016,0.0090986248105764,0.41875,0.0013208519667387,0.0099829507418286,0.1323106441963981,False
sz000581,0.0207377672195434,0.540625,0.0047215754166245,0.0182787161050006,0.2583098728818316,False
sz000550,0.031981736421585,0.5140625,0.0085626952350139,0.027620077141962,0.3100169521914728,False
sh600059,0.0281674563884735,0.4875,0.0050294958055019,0.0228545914941911,0.2200649093260395,False
sh600836,0.0267345197498798,0.4686520376175548,0.0055653601884841,0.0264258079755018,0.2106031379480313,False
sh600969,0.0190389100462198,0.478125,-0.0083049535751342,0.0232753997340172,-0.3568123470237559,False
sz000983,0.0316635146737098,0.4516640253565768,0.0051541058346629,0.0397463158629052,0.129675025873855,False
sh600192,0.0262165330350399,0.4875,0.0074556022882461,0.0438201960174717,0.1701407402163626,False
sh600660,0.0267357137054204,0.5234375,0.0030969916842877,0.0238229402849415,0.1300003419914532,False
sz000729,0.0217985324561595,0.49375,0.0055864974856376,0.0255814241057681,0.2183809344910029,False
sh600486,0.0258377250283956,0.4834645669291338,-0.0018916856497526,0.025816435009435,-0.073274443830716,False
sh600611,0.0124510442838072,0.45,0.0016812775284051,0.0134370752822407,0.1251221893059846,False
sh600426,0.0288551729172468,0.51875,-0.00332722812891,0.0247655449299723,-0.134349023808197,False
sh600439,0.0234953686594963,0.4734375,0.0035512521862983,0.0193288610532307,0.1837278636976985,False
sh600824,0.022531172260642,0.4650793650793651,0.012097418308258,0.0392220363530772,0.3084341443931044,False
sh600329,0.0254042241722345,0.5054773082942097,0.0032622441649436,0.0292857076105144,0.1113936905467002,False
sz000830,0.0294989477843046,0.46875,0.0024502091109752,0.0233022539305189,0.1051489725754172,False
sh600467,0.0251951273530721,0.46875,-0.0034404322504997,0.0301884045011475,-0.1139653177336936,False
sz000559,0.0224427450448274,0.4828125,0.0039000445976853,0.0182349137811553,0.2138777570167741,False
sz000589,0.0218290463089942,0.46875,-0.0022353490348905,0.0229961304191751,-0.0972054003038964,False
sh600588,0.0339839681982994,0.4984375,0.0133813824504613,0.0313163567441692,0.4272967729550831,False
sh600249,0.025167191401124,0.4671875,-0.0009212382137775,0.0321061027330571,-0.0286935457256093,False
sz000417,0.0207491181790828,0.475,0.0047243572771549,0.0189095247612491,0.2498399530609523,False
sz000402,0.0174542851746082,0.4546875,0.0040616989135742,0.0184931356836601,0.2196326673164627,False
sh600060,0.0258184187114238,0.5140625,0.0013528736308217,0.0243426437159988,0.0555762591295683,False
sh600235,0.0258089210838079,0.48125,0.0009108129888772,0.031776111860546,0.0286634408337973,False
sz000898,0.0266953725367784,0.4484375,0.0101277269423007,0.024748486061927,0.4092259552644585,False
sz002001,0.0238367784768342,0.4859375,-0.0070631280541419,0.0261027709202322,-0.2705891022005007,False
sh600436,0.0267935432493686,0.528125,0.0099871354177594,0.0248755002511872,0.4014846456177823,False
sh600479,0.0210142116993665,0.465625,-0.0155334509909152,0.0429651030121852,-0.3615363699034116,False
sh600138,0.0215748660266399,0.4515625,0.0065836515277624,0.0280190981123366,0.2349700604803927,False
sh600054,0.0195714812725782,0.4828125,-0.0007932111620903,0.0318635640972016,-0.024893979553912,False
sz000089,0.0197409596294164,0.48125,0.0025829970836639,0.0194282102187296,0.1329507826544924,False
sz000822,0.0314416959881782,0.48125,0.0079601630568504,0.0285800020690507,0.278522032727568,False
sh600638,0.025378281250596,0.46875,0.0011426340788602,0.0228615385718364,0.0499806071872101,False
