ticker,rmse_valid,mae_valid,direction_acc_valid,pocid_valid,auprc_valid,f1_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600085,0.02429850399494171,0.016858618706464767,0.5084745762711864,0.5084745762711864,0.5623466281590741,0.5587786259541985,-0.005860880017280579,43.186146631499156,43.439998626708984,0.038939945962954574,-0.15051069967455308,False,"( |ret|≥max(0.0337,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000419,0.019544316455721855,0.012628386728465557,0.5949152542372881,0.5949152542372881,0.6200930851444402,0.6055045871559633,0.00511372834444046,5.106044198222806,5.079999923706055,0.04133544782868869,0.1237128754115625,False,"( |ret|≥max(0.0253,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000919,0.02216622233390808,0.015117976814508438,0.5830508474576271,0.5830508474576271,0.5861167607776002,0.6401225114854517,0.004835810512304306,8.038780175315122,8.0,0.02892191908741433,0.16720221177807457,False,"( |ret|≥max(0.0302,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000951,0.030106456950306892,0.023056793957948685,0.5084745762711864,0.5084745762711864,0.6457197318651932,0.07692307692307693,0.0007504853419959545,12.279212369523513,12.270000457763672,0.023477921015769756,0.031965565513071205,False,"( |ret|≥max(0.0461,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600993,0.027459900826215744,0.020246505737304688,0.5,0.5,0.5487935351650683,0.4753199268738574,-0.002221234142780304,22.629678622949097,22.68000030517578,0.028221550636099962,-0.07870699184293105,False,"( |ret|≥max(0.0405,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600761,0.02350478433072567,0.01747285947203636,0.5440677966101695,0.5440677966101695,0.589443549302472,0.47540983606557374,-0.00396854430437088,10.299046720379337,10.34000015258789,0.023534490116292144,-0.1686266665856901,False,"( |ret|≥max(0.0349,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600992,0.027410896494984627,0.0183100588619709,0.5627118644067797,0.5627118644067797,0.6696973574649426,0.6558704453441295,0.005783632397651672,14.78526553954655,14.699999809265137,0.056572137347406536,0.10223462726515743,False,"( |ret|≥max(0.0366,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600684,0.026285110041499138,0.01788448356091976,0.5610169491525424,0.5610169491525424,0.6045702894353532,0.6449787835926449,-0.031099924817681313,4.4591419424847665,4.599999904632568,0.040301481313860014,-0.7716817369233627,False,"( |ret|≥max(0.0358,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600033,0.01054496131837368,0.007193983998149633,0.4457627118644068,0.4457627118644068,0.5441793010862945,0.5742024965325936,0.002368766814470291,2.8768063042723147,2.869999885559082,0.017351268073795032,0.13651829014530914,False,"( |ret|≥max(0.0144,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000823,0.025417370721697807,0.0181686170399189,0.5610169491525424,0.5610169491525424,0.5804237531718142,0.5019762845849802,-0.003628447651863098,10.990050477061699,11.029999732971191,0.027325514016493583,-0.13278602268241885,False,"( |ret|≥max(0.0363,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
