ticker,rmse_valid,mae_valid,direction_acc_valid,pocid_valid,auprc_valid,f1_valid,y_next_pred,pred_next_close,last_close,sigma60,z_of_pred,alert,alert_rule
sh600456,0.0332615375518798,0.031039660796523,0.4915254237288136,0.4915254237288136,0.5566419176509041,0.0066889632107023,0.0252020359039306,50.60952354137701,49.34999847412109,0.0325329520138639,0.7746615845550975,False,"( |ret|≥max(0.0621,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600467,0.0242312587797641,0.0166514087468385,0.6152542372881356,0.6152542372881356,0.6007824293865976,0.6290018832391714,0.0109852254390716,3.083689594748893,3.049999952316284,0.0301884045011475,0.3638887838463353,False,"( |ret|≥max(0.0333,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600305,0.0269543025642633,0.0229347962886095,0.4830508474576271,0.4830508474576271,0.5330117206109988,0.0067114093959731,0.0077116265892982,10.772755546823836,10.6899995803833,0.0202495877065076,0.380828631811286,False,"( |ret|≥max(0.0459,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600276,0.0215851794928312,0.0170976687222719,0.5322033898305085,0.5322033898305085,0.5525286613970852,0.2132564841498559,0.0068607442080974,36.14714909210335,35.900001525878906,0.0186060993303916,0.3687361009370702,False,"( |ret|≥max(0.0342,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600624,0.0187156666070222,0.0137972300872206,0.5474576271186441,0.5474576271186441,0.5740734720181921,0.532347504621072,0.0065950518473982,6.653737493656615,6.610000133514404,0.0151095132293929,0.4364831204315398,False,"( |ret|≥max(0.0276,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600992,0.0274108964949846,0.0183100588619709,0.5627118644067797,0.5627118644067797,0.6696973574649426,0.6558704453441295,0.0057836323976516,14.78526553954655,14.699999809265137,0.0565721373474065,0.1022346272651574,False,"( |ret|≥max(0.0366,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600824,0.0228149686008691,0.0139337079599499,0.4982758620689655,0.4982758620689655,0.500670344501127,0.5847076461769115,0.0055562183260917,3.941841073040544,3.920000076293945,0.0392220363530772,0.141660592516633,False,"( |ret|≥max(0.0279,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000419,0.0195443164557218,0.0126283867284655,0.5949152542372881,0.5949152542372881,0.6200930851444402,0.6055045871559633,0.0051137283444404,5.106044198222806,5.079999923706055,0.0413354478286886,0.1237128754115625,False,"( |ret|≥max(0.0253,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000919,0.022166222333908,0.0151179768145084,0.5830508474576271,0.5830508474576271,0.5861167607776002,0.6401225114854517,0.0048358105123043,8.038780175315122,8.0,0.0289219190874143,0.1672022117780745,False,"( |ret|≥max(0.0302,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000822,0.0310908239334821,0.0222412552684545,0.5847457627118644,0.5847457627118644,0.6142971436929772,0.5822784810126582,0.0044937841594219,6.810536628000312,6.78000020980835,0.0285800020690507,0.1572352085983979,False,"( |ret|≥max(0.0445,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600192,0.0265831276774406,0.0180937815457582,0.4830508474576271,0.4830508474576271,0.5107716934340929,0.3897216274089936,0.0041533410549163,5.874347476292101,5.849999904632568,0.0438201960174717,0.0947814132425662,False,"( |ret|≥max(0.0362,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600439,0.0227198544889688,0.0161415357142686,0.5898305084745763,0.5898305084745763,0.6047669869087917,0.6329113924050633,0.0037656482309103,2.9310164983828413,2.9200000762939453,0.0193288610532307,0.1948198744013498,False,"( |ret|≥max(0.0323,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000417,0.0205340329557657,0.0139723699539899,0.5711864406779661,0.5711864406779661,0.6079095040691207,0.6544428772919605,0.0036264210939407,4.426021396767124,4.409999847412109,0.0189095247612491,0.1917773831946558,False,"( |ret|≥max(0.0279,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600486,0.0265878941863775,0.0221879631280899,0.4786324786324786,0.4786324786324786,0.6023367657671533,0.0065359477124183,0.0035952702164649,117.68234228804852,117.26000213623048,0.025816435009435,0.1392627921912195,False,"( |ret|≥max(0.0444,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600594,0.0228833649307489,0.0169992092996835,0.4898305084745762,0.4898305084745762,0.4923712652434638,0.2301369863013698,0.0033006072044372,7.334167242697334,7.309999942779541,0.0350403324748985,0.0941944904448828,False,"( |ret|≥max(0.0340,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600836,0.0262267496436834,0.0184632390737533,0.5782312925170068,0.5782312925170068,0.6475064831341005,0.6579710144927536,0.0032512098550796,6.571330271401098,6.550000190734863,0.0264258079755018,0.1230315692817414,False,"( |ret|≥max(0.0369,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000559,0.0229981243610382,0.0167063176631927,0.5033898305084745,0.5033898305084745,0.4870762426642779,0.581021897810219,0.0026670172810554,5.384340883397061,5.369999885559082,0.0182349137811553,0.1462587567166936,False,"( |ret|≥max(0.0334,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000581,0.0193533152341842,0.0136132128536701,0.6491525423728813,0.6491525423728813,0.7198293732855262,0.6946107784431138,0.0026189498603343,19.79176559722522,19.739999771118164,0.0182787161050006,0.1432785767066067,False,"( |ret|≥max(0.0272,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz002038,0.020793342962861,0.0176231414079666,0.4813559322033898,0.4813559322033898,0.5251827577623833,0.6498855835240275,0.0023933639749884,10.595327848964912,10.56999969482422,0.022205182953527,0.1077839755771319,False,"( |ret|≥max(0.0352,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600033,0.0105449613183736,0.0071939839981496,0.4457627118644068,0.4457627118644068,0.5441793010862945,0.5742024965325936,0.0023687668144702,2.8768063042723147,2.869999885559082,0.017351268073795,0.1365182901453091,False,"( |ret|≥max(0.0144,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
