ticker,rmse_valid,direction_acc_valid,pocid_valid,auprc_valid,f1_valid,mae_valid,y_next_pred,sigma60,z_of_pred,alert,alert_rule
sh600085,0.0242985039949417,0.5084745762711864,0.5084745762711864,0.5623466281590741,0.5587786259541985,0.0168586187064647,-0.0058608800172805,0.0389399459629545,-0.150510699674553,False,"( |ret|≥max(0.0337,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000419,0.0195443164557218,0.5949152542372881,0.5949152542372881,0.6200930851444402,0.6055045871559633,0.0126283867284655,0.0051137283444404,0.0413354478286886,0.1237128754115625,False,"( |ret|≥max(0.0253,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000919,0.022166222333908,0.5830508474576271,0.5830508474576271,0.5861167607776002,0.6401225114854517,0.0151179768145084,0.0048358105123043,0.0289219190874143,0.1672022117780745,False,"( |ret|≥max(0.0302,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000951,0.0301064569503068,0.5084745762711864,0.5084745762711864,0.6457197318651932,0.0769230769230769,0.0230567939579486,0.0007504853419959,0.0234779210157697,0.0319655655130712,False,"( |ret|≥max(0.0461,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600993,0.0274599008262157,0.5,0.5,0.5487935351650683,0.4753199268738574,0.0202465057373046,-0.0022212341427803,0.0282215506360999,-0.078706991842931,False,"( |ret|≥max(0.0405,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600761,0.0235047843307256,0.5440677966101695,0.5440677966101695,0.589443549302472,0.4754098360655737,0.0174728594720363,-0.0039685443043708,0.0235344901162921,-0.1686266665856901,False,"( |ret|≥max(0.0349,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600992,0.0274108964949846,0.5627118644067797,0.5627118644067797,0.6696973574649426,0.6558704453441295,0.0183100588619709,0.0057836323976516,0.0565721373474065,0.1022346272651574,False,"( |ret|≥max(0.0366,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600684,0.0262851100414991,0.5610169491525424,0.5610169491525424,0.6045702894353532,0.6449787835926449,0.0178844835609197,-0.0310999248176813,0.04030148131386,-0.7716817369233627,False,"( |ret|≥max(0.0358,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sh600033,0.0105449613183736,0.4457627118644068,0.4457627118644068,0.5441793010862945,0.5742024965325936,0.0071939839981496,0.0023687668144702,0.017351268073795,0.1365182901453091,False,"( |ret|≥max(0.0144,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
sz000823,0.0254173707216978,0.5610169491525424,0.5610169491525424,0.5804237531718142,0.5019762845849802,0.0181686170399189,-0.003628447651863,0.0273255140164935,-0.1327860226824188,False,"( |ret|≥max(0.0363,0.012) AND |ret|≥1.0·σ60 ) AND acc≥0.55"
